ID;Nombre;Descripción;latitud;longitud;Dirección;Código Postal;Categorías;Subcategorías
1;Galería de Arte Lucía Mendoza;<p><strong>Inaugurada en 2014, esta galería de arte es, además, una plataforma de reflexión y espacio abierto en el que se busca una expresión amplia de la creación artística en un entorno expandido, flexible, libre, reflexivo, propositivo y estimulante.</strong></p><p>En ella se defiende el papel del arte contemporáneo como pilar y motor de un movimiento común hacia la sostenibilidad. Desde prácticas y estéticas que se hibridan, trabajando con una visión holística, su intención es el desarrollo de proyectos discursivos con la implicación activa de particulares, empresas privadas y administraciones públicas.</p><p>Su hoja de ruta será la Agenda 2030 de Desarrollo Sostenible, entendiendo sus objetivos y metas como un camino global para construir un planeta más habitable, justo e inclusivo.</p>;40.4233537;-3.6926876;de Bárbara de Braganza, 10;28004;Instalaciones culturales;Galerías de Arte
2;archiTOURSMAD;"<p><!-- x-tinymce/html --></p><p><strong>Conocer Madrid, su arquitectura y sus conexiones con cada momento histórico es posible gracias a esta empresa turística que oferta rutas guiadas realizadas por el arquitecto madrileño Emilio Orduña, en grupo o privadas.</strong></p><p>Entre sus propuestas se encuentran las rutas:</p><ul><li><strong>- Gran Vía desde sus mejores azoteas sXX</strong>, un recorrido desde el punto de vista urbanístico, histórico y arquitectónico, comenzando en el Círculo de Bellas Artes y finalizando en el tercer tramo de la Gran Vía, junto a la Plaza de España;</li><li><strong>- Lavapiés y Rastro</strong>, recorriendo el Rastro, teatros, cafés, mercados, restaurantes, museos o edificios de viviendas, así como el Museo Reina Sofía y la calle Doctor Fourquet y sus galerías; o</li><li><strong>- En bici por Madrid Río y Casa de Campo</strong>, realizando un paseo en bici desde el Palacio Real hasta Matadero Madrid, pasando por la Casa de Campo y por puentes tan destacados como el de Toledo, el de Segovia o la espiral metálica de Dominique Perrault.</li><li>- <strong>Architour por el Madrid histórico</strong>, de los árabes a los Borbones, pasando por los Austrias. Un recorrido por los orígenes de la ciudad, desde que los árabes construyeron El Alcázar a final del SIX, pasando por la conquista cristiana o el momento en que Felipe II  fija la capital en 1561. Se recorre a pie el casco histórico y monumental de la ciudad.</li></ul>";40.4122552;-3.703833;de Tirso de Molina, 4;28012;Empresas de guías turísticos;
3;Museo de Cera;"<p class=""normal""><strong>El Museo de Cera de Madrid es un lugar perfecto para pasar una tarde divertida, especialmente si se va con niños. Inaugurado en 1972, es mucho más que una exposición de figuras, es una recreación de ambientes, una combinación de espacios y sonidos y también una manera de conocer parte de la historia a través de las más de 450 figuras que representan a personalidades de todas las épocas y de todas las disciplinas y profesiones, entre los que encontraremos famosos deportistas, políticos, celebridades de ayer y hoy y personajes históricos como Cleopatra, Napoleón o los Reyes de las dinastías Austria y Borbón. </strong></p><p>El museo ha puesto especial interés en reflejar el mundo infantil y juvenil con la presencia de personajes como Pocoyó, Eli y Pato, E.T. o Buzz Lightyear. Una de las galerías que tienen más éxit, entre el público adulto es la galería <strong>Wax Horror Experience</strong>, zona enfocada al cine del terror con figuras como Hannibal Lecter, Nosferatu y muchos más.</p><p>El museo cuenta, además, con la atracción el <strong>Tren del terror</strong>, que nos lleva del parque Jurásico a la Taberna Galáctica, pasando por célebres asesinatos y otras sorpresas.</p><p>Para los más atrevidos, el museo organiza sesiones exclusivas de <a href=""https://www.museoceramadrid.com/espectaculo-mentalismo/"" target=""_blank""><strong>Mentalismo</strong> </a>de la mano de Pablo Raijenstein y Lorena Toré, en las que se recorrerá el museo a oscuras, guiándose sólo con linternas, una vez que el centro haya cerrado al público. Durante 80 minutos aproximadamente se descubrirán los secretos que guarda el museo y los enigmáticos sucesos que en él ocurren.</p><p> </p>";40.42488237;-3.691234589;de Recoletos, 41;28004;Instalaciones culturales;Museos
4;Galería Elba Benítez;<p><strong>La galería Elba Benítez de Madrid abrió sus puertas en abril de 1990 y desde entonces se ha comprometido con la promoción del arte contemporáneo en España con el objetivo de dar a conocer internacionalmente la obra de artistas españoles y extranjeros, a través de distintos soportes como escultura, pintura, fotografía, video, instalaciones site-specific, performance o acciones colectivas.</strong></p><p>La galería ha explorado también las relaciones del arte contemporáneo con otras disciplinas como la arquitectura, el cine, el turismo, el urbanismo y la producción de proyectos para espacios públicos.</p><p>Entre los artistas que han expuesto en sus instalaciones se encuentran Cristina Iglesias, Carlos Garaico, Ignasi Aballí o Mario García Torres.</p>;40.42504163;-3.698699176;de San Lorenzo, 11 (patio);28004;Instalaciones culturales;Galerías de Arte
5;Matadero Madrid;"<p><strong>El antiguo matadero de Madrid, un conjunto de pabellones de estilo neomudéjar construido a principios del siglo XX a orillas del río Manzanares, es hoy una pequeña ciudad dedicada a la cultura en la que el visitante encontrará los siguientes espacios:</strong></p><ul><li><strong><a href=""https://www.esmadrid.com/informacion-turistica/naves-espanol-matadero"">Naves del Español en Matadero</a>?:</strong> espacio escénico que aborda todo tipo de artes escénicas y visuales, además de literatura, filosofía, música y diferentes actividades transmedia.</li><li><p><strong><a href=""/informacion-turistica/casa-del-lector"">Casa del Lector</a>:</strong> la programación de este gran centro cultural hace de los lectores y la lectura sus protagonistas fundamentales.</p></li><li><p><strong><a href=""/informacion-turistica/central-de-diseno"">Central de Diseño</a>:</strong> promovida por el Ayuntamiento de Madrid y DIMAD (Asociación de Diseñadores de Madrid), está destinada a la promoción y difusión del diseño.</p></li><li><p><strong><a href=""/informacion-turistica/cineteca-matadero"">Cineteca</a>:</strong> es la primera y única sala del país dedicada casi en exclusiva al cine de no ficción.</p></li><li><p><strong><a href=""/informacion-turistica/extension-avam-matadero"">Extensión AVAM</a>:</strong> es un espacio gestionado por Artistas Visuales Asociados de Madrid que ofrece a los artistas la posibilidad de presentar sus proyectos en un entorno abierto a la creación de nuevas redes, convirtiéndose en una plataforma de visibilidad e intercambio para el creador.</p></li><li><p><strong><a href=""https://www.mataderomadrid.org/programas/centro-de-residencias-artisticas"" target=""_blank"">Centro de Residencias Artísticas</a></strong>: Este espacio amplía y refuerza desde el ámbito público la oferta de residencias y espacios de trabajo de la ciudad, poniendo al servicio del tejido creativo de Madrid recursos económicos, herramientas y acompañamiento institucional en un entorno de creación y convivencia de creadores locales, nacionales e internacionales. El centro se encuentra en la <strong>Nave 16</strong>, gran espacio expositivo de más de 4000 metros cuadrados, versátil y polivalente, que puede funcionar tanto como gran sala de exposiciones, instalaciones o actividades de artes vivas, como un conjunto de espacios independientes de menor tamaño dividido en hasta tres salas simultáneas. </p></li><li><p><strong><a href=""/informacion-turistica/intermedi-matadero"">Intermediae</a>:</strong> Situada en la <strong>Nave 17</strong>, es una iniciativa del Área de Las Artes del Ayuntamiento de Madrid. Se propone ofrecer a la ciudad de Madrid un espacio para la creación contemporánea, que se sitúe como catalizador entre los creadores y los ciudadanos, con el fin de buscar y presentar formas alternativas de expresión, de creación y de pensamiento.</p></li><li><p><a href=""https://www.esmadrid.com/informacion-turistica/nave-0-exposiciones""><strong>Nave 0. E</strong></a><a href=""https://www.esmadrid.com/informacion-turistica/nave-0-exposiciones""><strong>xposiciones</strong></a>: antigua cámara frigorífica de Matadero, un lugar nada convencional pero que ofrece múltiples aplicaciones creativas como han dado buena cuenta las obras de los creadores que ha expuesto entre sus paredes.</p></li><li><p><strong><a href=""/informacion-turistica/plaza-calle-matadero-matadero"">Plaza y Calle Matadero</a></strong>: multiespacio al aire libre dedicado a las actividades lúdicas y culturales más diversas.</p></li><li><p><a href=""https://www.esmadrid.com/informacion-turistica/mad-madrid-artes-digitales-centro-experiencias-inmersivas-nave-16-matadero"" target=""_blank""><strong>MAD (Madrid Artes Digitales) Centro de Experiencias Inmersivas</strong></a>: Espacio para la creación, la experimentación y la exhibición en la <strong>Nave 16 </strong>de Matadero Madrid.</p></li><li><p><a href=""https://www.esmadrid.com/informacion-turistica/medialab-matadero""><strong>Medialab en Matadero:</strong></a> Situado en la <strong>Nave 17</strong>, es un laboratorio ciudadano que funciona como lugar de encuentro para la producción de proyectos culturales abiertos.</p></li></ul><p>Matadero Madrid cuenta, además, con <a href=""/noche/la-cantina-matadero-madrid""><strong>La Cantina</strong></a> y <a href=""https://www.esmadrid.com/informacion-turistica/cafe-naves""><strong>Café Naves</strong></a> como espacios de restauración.</p><p><strong>- <a href=""https://www.mataderomadrid.org/visita#anchor--3"" target=""_blank"">Consultar plano de sedes del Matadero</a> / <a href=""https://www.esmadrid.com/sites/default/files/plano_matadero_madrid_2020.pdf"" target=""_blank"">Descarga plano Matadero Madrid</a></strong></p>";40.3915817;-3.6963598;de Legazpi, 8;28045;Instalaciones culturales;Centros culturales, Salas exposiciones, Fundaciones, Teatros
6;MEEU;"<p><strong>Situado en el corazón financiero de la ciudad, Madrid Exposiciones y Eventos Urbanos es un proyecto experiencial ubicado en la planta superior de la <a href=""https://www.esmadrid.com/informacion-turistica/estacion-madrid-chamartin-clara-campoamor"">estación de Chamartín</a>, donde ocio y negocio se fusionan para convertirse en referente cultural madrileño. </strong></p><p>Los 33 000 metros cuadrados que ocupa MEEU permiten celebrar todo tipo de eventos, tanto públicos como privados. Las empresas pueden organizar en sus dependencias showrooms, seminarios, ferias, mercados o congresos. Para ello dispone de multiples espacios y servicios como salas de exposiciones, centro de negocios, auditorio, gimnasio, club social, pabellones multiusos, platós para grabaciones audiovisuales, <a href=""http://www.esmadrid.com/deporte/rolling-dance-burger"" target=""_self"">pista de patinaje</a> y restaurantes.</p>";40.47288529;-3.681806976;Agustín de Foxa, s/n;28036;Parques y centros de ocio;
7;La Neomudéjar;"<p><strong>Situado al lado de la<a href=""https://www.esmadrid.com/informacion-turistica/estacion-de-atocha""> estación de Atocha</a> y muy próximo al <a href=""https://www.esmadrid.com/paseo-del-arte"">Paseo del Arte</a>, el Centro de Artes de Vanguardia y Residencia Artística Internacional 'La Neomudéjar' es un museo dedicado a las creaciones más innovadoras.</strong></p><p>Festivales de videoarte, exposiciones, coloquios e instalaciones artísticas se programan en este museo que cuenta con residencias de artistas que dejan su huella en el propio edificio.</p><p>La Neomudéjar está instalado en unas antiguas dependencias de Adif, empresa estatal de ferrocarriles. El edificio pertenecía a la antigua estación de Atocha y el fin de vía del tren llegaba a la misma puerta desde donde se surtía de materiales directamente desde los vagones de mercancías.</p><p>El <a href=""https://www.esmadrid.com/neomudejar-madrid""><strong>estilo neomudéjar</strong> </a>del edificio proporciona al espacio una identidad vinculada al arte madrileño ya que esta corriente arquitectónica gozó de gran éxito en Madrid.</p><p>La colección permanente del Centro de Artes de Vanguardia La Neomudéjar se encuentra en Fuencarral, en la <strong><a href=""https://www.esmadrid.com/informacion-turistica/ciudad-arte-museo-zapadores"">Ciudad del Arte. Museo Zapadores</a></strong>, situada en un antiguo cuartel del ejército en el que se apuesta por las nuevas voces del arte.</p>";40.40415031;-3.684067726;Antonio Nebrija, s/n;28007;Instalaciones culturales;Museos
8;Faunia;"<p class=""heading-2"">Desde el 09 de enero de 2023, el ecosistema de Los Polos permanecerá cerrado por obras de mejora en la instalación hasta el fin de las mismas</p><hr /><p class=""heading-3""><a href=""https://www.faunia.es/"" target=""_blank"">Abierto todos los días de marzo a sep. Ene, feb, oct, nov, y dic, consultar días de apertura.</a></p><hr /><p class=""normal""><strong>Faunia es un amplio espacio temático y natural con más de 1200 animales de 152 especies distintas, divididas a lo largo de la recreación de 4 ecosistemas y 15 áreas temáticas adaptadas a cada especie, con su propio hábitat, temperatura, condiciones de luz y humedad. El parque cuenta con una extensión de 14 hectáreas con una topografía potenciada con lagos y estanques.</strong></p><p class=""normal"">Los visitantes podrán disfrutar desde el frío extremo de la Antártida, representado por El Ecosistema Polar más grande de Europa, hasta el calor tropical de la selva amazónica representado por el Ecosistema Jungla, pasando por el misterioso mundo de los animales nocturnos o la elegancia del reino de las mariposas y los majestuosos bosques.</p><p class=""normal"">El parque dispone de varias zonas de restauración, zona de juego infantil y un recorrido en el que se muestran reproducciones de diferentes dinosaurios.</p><p class=""heading-3""><strong>Disfruta de experiencias únicas</strong></p><p class=""normal""><a href=""https://www.faunia.es/interacciones/viaje-polar"" target=""_blank""><strong>Expedición Polar</strong></a>: atrévete a realizar un espectacular viaje a la Antártida sin salir de Madrid. Y vive una experiencia única a temperaturas bajo cero en el hábitat de los animales más simpáticos del polo sur. - Cerrado por obras temporalmente -</p><p class=""normal""><a href=""https://www.faunia.es/experiencias/interacciones/experiencia-con-manaties"" target=""_blank""><strong>Experiencia con manatíes</strong></a><strong>: </strong> un baño sin riesgo en el que los participantes conocen la grandeza y psicología de este fascinante mamífero. Tendrán la oportunidad de darles de comer y de conocerlos más de cerca.</p><p class=""normal""><a href=""https://www.faunia.es/interacciones/interaccion-acuatica-con-mamiferos-marinos"" target=""_blank""><strong>Entre osos marinos</strong></a>: conoce de cerca estos fabulosos animales de la mano de sus cuidadores en la bahía de Steller.</p><p class=""normal""><a href=""https://www.faunia.es/interacciones/escuela-de-reptiles"" target=""_blank""><strong>Escuela de reptiles</strong>:</a> descubre los reptiles y anfibios no venenosos más impresionantes en una experiencia única, en la que podrás disfrutar con ellos con total seguridad.</p><p class=""normal""><a href=""https://www.faunia.es/interacciones/interaccion-con-pelicanos"" target=""_blank""><strong>Experiencia con pelícanos</strong></a>: es una excelente práctica educativa y una oportunidad única de observar a estos inteligentes animales.</p><p class=""normal""><a href=""https://www.faunia.es/interacciones/alimentacion-de-cocodrilos"" target=""_blank""><strong>Alimentación de cocodrilos</strong></a>: disfruta de una actividad familiar en la que nuestros cocodrilos no te dejarán indiferente.</p><p style=""text-align:justify""><strong><a href=""https://www.faunia.es/experiencias/actividades-educativas/territorio-saimiri"" target=""_blank"">Experiencia Saimiri</a>:</strong><strong> </strong>Esta actividad educativa tiene como finalidad dar a conocer las características de los monos ardilla amarillos (<em>Saimiri sciureus</em>) que habitan en la Jungla de Faunia y concienciar sobre el frágil estado de conservación de los hábitats naturales de estos curiosos primates.</p><p class=""heading-3"" style=""text-align:justify""><a href=""https://www.faunia.es/experiencias/interacciones/fauniaventura"" target=""_blank"">FAUNIAVENTURA</a></p><p class=""heading-3"" style=""text-align:justify""><img alt=""Fauniaventura"" height=""335"" src=""https://www.esmadrid.com/sites/default/files/styles/content_type_full/public/fauniaventura.jpeg?itok=OGbfZFIL"" title=""Fauniaventura"" width=""660"" /></p><p style=""text-align:justify"">Faunia cuenta también con un rocódromo y un circuito de cuerdas especialmente pensado para los más pequeños, ambos con todas las medidas de seguridad.</p><p>En el <strong>rocódromo</strong> hay diferentes zonas y alturas, para que todos aquellos que quieran probar esta divertida actividad encuentren su lugar. Cuentan con<strong> </strong>zona de Boulder y varias rocas para escalar y trepar.</p><p>Y para los más intrépidos, disponen de una Torre con 8 metros de altura. Está adaptada a distintos niveles de dificultad, con 8 vías de escalada compuestas por 8 paredes verticales de 8 metros de altura. Perfecta tanto para aquellos más experimentados como aquellos que acaban de empezar, para adultos y niños, ¡toda la familia puede apuntarse a conquistar las alturas!</p><p>En las distintas áreas del Rocódromo está presente en todo momento un monitor. </p><p>Los más pequeños también pueden iniciarse en Fauniaventura con el<strong> Circuito de Cuerdas del Parque Infantil</strong>. Un pequeño circuito en el que, atados con cuerda al sistema de seguridad, podrán ir saltando y recorriendo diferentes plataformas, perfectas para mejorar el equilibrio y la motricidad y aprender a desenvolverse con el sistema de cuerdas, todo ello mientras realizan una pequeña actividad muy divertida.</p>";40.39204141;-3.612442017;de las Comunidades, 28;28032;Parques y centros de ocio;
9;La noria de agua de El Retiro;"<p><strong>Situada en lo que se conoce como el Huerto del Francés, llamado así por haber alojado a las tropas napoleónicas durante la Guerra de la Independencia (1808-1814), esta noria fue una de las muchas que se encontraban en el <a href=""https://www.esmadrid.com/informacion-turistica/parque-del-retiro"">parque de El Retiro</a>, cuya función consistía en suministrar agua a los jardines, estanques y rías y a la Real Fábrica de Porcelana, ubicada en el lugar que hoy ocupa la <a href=""https://www.esmadrid.com/informacion-turistica/el-angel-caido"">escultura del Ángel Caído</a>.</strong></p><p>La noria, cuyos orígenes se remontan al siglo XVII durante la construcción del Real Sitio del Buen Retiro, fue descubierta durante unas excavaciones arqueológicas, realizadas entre 1996 y 2000, junto a un pozo de noria, una alberca, una pileta de decantación y un pozo de desagüe, así como restos de otro pozo de noria, otra alberca y elementos accesorios. Sus gigantescas ruedas han sido restauradas, además de los muros, la alberca y otros elementos de la obra civil que han sido sustituidos conforme a su diseño original.</p><p>Tras su restauración, la noria ha sido puesta en marcha de manera ininterrumpida para que los visitantes puedan disfrutar del espectáculo que supone el rodaje de esta pieza única y original que forma parte de la historia de la ciudad.</p><p class=""heading-3""><strong>Almendros en flor</strong></p><p>En el Huerto del Francés se puede disfrutar además de la única alineación de almendros en el Parque del Retiro. Entre febrero y marzo (según los años) florecen ofreciendo una bella imagen.</p>";40.41050621;-3.683466911;de Alfonso XII, 54;28014;Edificios y monumentos, Parques y jardines;
10;Mirador Madrid;"<p class=""normal""><strong>Este gran mirador, que recorre la torre más alta del <a href=""https://www.esmadrid.com/informacion-turistica/palacio-cibeles"" target=""_self"">Palacio de Cibeles</a>, permite al visitante contemplar una panorámica de 360 grados de la ciudad de Madrid. La confluencia de la <a href=""https://www.esmadrid.com/compras/calle-gran-via"">Gran Vía</a> y la calle Alcalá, el Paseo de la Castellana o el <a href=""https://www.esmadrid.com/informacion-turistica/parque-del-retiro"">Parque de El Retiro </a>son algunos de los atractivos turísticos que se aprecian desde una posición privilegiada y para cuyo reconocimiento se ha dotado al espacio de planos que permiten a ciudadanos y turistas reconocer y localizar los edificios más representativos de la urbe.</strong></p><p><a href=""https://tienda.madrid-destino.com/es/centrocentro/mirador-madrid-asomate-a-madrid/"" target=""_blank""><strong>Compra tu entrada</strong></a></p><p class=""heading-2""><a href=""https://www.centrocentro.org/programa-publico/visitas-guiadas-centrocentro""><strong>VISITA GUIADA AL MIRADOR</strong></a></p><p class=""normal"">CentroCentro organiza visitas guiadas gratuitas para conocer el mirador. Para participar en ellas es imprescindible la reserva previa, en el email <a href=""mailto:info@centrocentro.org"">info@centrocentro.org</a>, en el mostrador de información (planta principal) o en el teléfono (+34) 914 800 008.</p><p class=""normal"">Las visitas tienen aforo máximo de 9 personas más el guía y una duración de 30 minutos, y se realizan de martes a viernes a las 12:00 h y los miércoles también a las 17:30 h.</p><p class=""normal""> </p><p class=""normal""> </p><p class=""normal""> </p><p> </p>";40.4189339;-3.6921521;de Cibeles, 1;28014;Edificios y monumentos;
