ID consulta;Precision;Recall;F1 Score;Position first relevant document;R-Precision;Average Precision
1;0.379310345;1;0.55;1;0.909090909;0.958557604
2;0.366666667;1;0.536585366;1;0.818181818;0.887511478
3;0.483870968;0.882352941;0.625;1;0.882352941;0.882352941
4;0.777777778;1;0.875;2;0.857142857;0.629591837
5;0.357142857;1;0.526315789;1;0.8;0.966666667
6;0.117647059;1;0.210526316;1;1;1
7;1;0.8;0.888888889;1;0.8;0.6
8;0.352941176;0.857142857;0.5;1;0.857142857;0.784353741
9;0.533333333;1;0.695652174;1;0.75;0.908928571
10;0.55;1;0.709677419;1;0.818181818;0.961771562
11;0.833333333;1;0.909090909;1;1;1
12;0.625;1;0.769230769;1;0.8;0.905137363
13;0.153846154;0.888888889;0.262295082;1;0.666666667;0.682914462
14;0.090909091;1;0.166666667;1;0.333333333;0.538095238
15;0.227272727;1;0.37037037;1;0.8;0.926666667
16;0.021126761;1;0.04137931;1;0.666666667;0.755555556
17;0.777777778;1;0.875;1;0.857142857;0.857142857
18;0.733333333;0.88;0.8;1;0.8;0.813742208
19;0.7;0.636363636;0.666666667;1;0.636363636;0.636363636
20;0.628571429;0.6875;0.656716418;1;0.6875;0.640095161
21;0.315789474;1;0.48;1;1;1
22;0.6;1;0.75;1;1;1
23;0.2;1;0.333333333;1;1;1
24;0.5;1;0.666666667;1;1;1
25;0.102564103;1;0.186046512;1;1;1
26;0.266666667;1;0.421052632;1;0.875;0.986111111
27;0.333333333;0.928571429;0.490566038;1;0.857142857;0.820396609
28;0.113095238;1;0.203208556;3;0.789473684;0.693894378
29;0.166666667;1;0.285714286;1;0.666666667;0.755555556
30;0.042735043;1;0.081967213;1;0.8;0.966666667
31;0.034482759;1;0.066666667;1;0.75;0.916666667
32;0.163265306;0.888888889;0.275862069;1;0.666666667;0.825252525
33;0.126760563;1;0.225;1;0.777777778;0.870111007
34;0.035353535;1;0.068292683;1;0.571428571;0.646409288
35;0.031088083;1;0.060301508;1;0.666666667;0.650341131
36;0.12;0.9375;0.212765957;2;0.5625;0.544877957
37;0.14084507;1;0.24691358;1;0.9;0.926345599
38;0.078947368;1;0.146341463;1;1;1
39;0.020833333;1;0.040816327;1;1;1
40;0.015306122;1;0.030150754;1;0.666666667;0.833333333
41;0.057803468;1;0.109289617;3;0.5;0.436350822
42;0.047337278;1;0.09039548;1;0.875;0.965909091
43;0.157894737;1;0.272727273;1;0.666666667;0.722222222
44;0.129032258;1;0.228571429;1;0.875;0.986111111
45;0.016806723;1;0.033057851;1;1;1
46;0.087248322;1;0.160493827;1;0.538461538;0.725038812
47;0.142857143;0.833333333;0.243902439;1;0.833333333;0.833333333
48;0.011764706;1;0.023255814;1;1;1
49;0.027027027;1;0.052631579;1;1;1
50;0.181818182;1;0.307692308;1;1;1
